ID	gdp_2008	gdp_pps_2008	pop_t_2008	gdppercapita
RO111	3734000	6715000	593,897	6287,2855057359
RO112	1551000	2789000	316,869	4894,7672381962
RO113	5421000	9748000	692,021	7833,577304735
RO114	2177000	3915000	512,56	4247,3076322772
RO115	1649000	2965000	365,975	4505,772252203
RO116	1198000	2154000	242,854	4933,005015359
RO121	2392000	4301000	374,727	6383,3137190541
RO122	4565000	8208000	596,467	7653,3990983575
RO123	1084000	1949000	223,208	4856,4567578223
RO124	1628000	2928000	325,682	4998,7411032848
RO125	2945000	5296000	581,4	5065,3594771242
RO126	3050000	5484000	423,144	7207,9481216796
RO211	3277000	5893000	719,655	4553,5708082345
RO212	1477000	2656000	453,958	3253,6049590491
RO213	4089000	7353000	818,929	4993,1068505328
RO214	2045000	3678000	566,74	3608,3565656209
RO215	2667000	4796000	707,251	3770,9384645621
RO216	1360000	2445000	456,02	2982,3253366081
RO221	1874000	3369000	363,979	5148,6486857758
RO222	2088000	3754000	486,445	4292,3660434376
RO223	5643000	10147000	719,727	7840,4728459541
RO224	2953000	5310000	613,509	4813,295322481
RO225	1138000	2046000	249,779	4556,0275283351
RO226	1508000	2711000	392,317	3843,8303718677
RO311	4795000	8622000	644,487	7440,0259431145
RO312	1246000	2241000	314,081	3967,1294984415
RO313	2452000	4408000	531,441	4613,8705895857
RO314	995000	1790000	282,638	3520,4041919346
RO315	1274000	2291000	289,501	4400,6756453346
RO316	5470000	9835000	819,6	6673,9873108834
RO317	1611000	2897000	410,288	3926,5101587178
RO321	31820000	57214000	1943,981	16368,4727371307
RO322	3590000	6455000	298,021	12046,1309773472
RO411	3687000	6629000	710,669	5188,0692699414
RO412	2624000	4718000	380,061	6904,1548593515
RO413	1266000	2276000	296,609	4268,2454005104
RO414	1837000	3302000	473,128	3882,6702287753
RO415	1992000	3581000	410,309	4854,8776653693
RO421	3046000	5476000	457,318	6660,5731679051
RO422	1661000	2986000	326,067	5094,0450888928
RO423	2830000	5089000	470,103	6019,9573285004
RO424	6054000	10886000	673,212	8992,7095773694
SE110	97005000	82668000	1949,516	49758,5041620587
SE121	10274000	8756000	323,27	31781,4829708912
SE122	7964000	6787000	265,19	30031,2983144161
SE123	12680000	10806000	420,809	30132,435380422
SE124	8824000	7520000	276,067	31963,2552967214
SE125	7838000	6680000	249,193	31453,5320013002
SE211	11127000	9483000	333,61	33353,3167470999
SE212	6311000	5379000	180,787	34908,4834639659
SE213	7301000	6222000	233,834	31223,0043535157
SE214	1575000	1342000	57,122	27572,5639858548
SE221	4623000	3940000	151,9	30434,4963791968
SE224	38169000	32528000	1199,357	31824,5526561316
SE231	9301000	7926000	291,393	31919,0920852594
SE232	54491000	46437000	1547,298	35216,8748360044
